epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1334.81,0.56732,0.45815,0.95566,0.85449,0.77195,0.78329,0.59278,0.80298,0.75639,1.1207,0.000266532,0.000266532,0.000266532
68,1350.45,0.52536,0.44953,0.94493,0.92228,0.78719,0.82352,0.61886,0.77537,0.67326,1.09322,0.000253024,0.000253024,0.000253024
69,1368.44,0.54992,0.44365,0.95364,0.88452,0.78646,0.81613,0.63959,0.7419,0.62564,1.07171,0.000239766,0.000239766,0.000239766
70,1384.8,0.5603,0.4553,0.95757,0.86568,0.77213,0.79457,0.62822,0.75204,0.70125,1.0696,0.000226769,0.000226769,0.000226769
71,1404,0.51314,0.43044,0.92562,0.83648,0.77504,0.79142,0.6255,0.77055,0.71028,1.08549,0.000214046,0.000214046,0.000214046
72,1420.78,0.52522,0.44133,0.93676,0.86202,0.76953,0.79322,0.62395,0.77727,0.71974,1.08135,0.000201611,0.000201611,0.000201611
73,1452.14,0.51746,0.41334,0.92387,0.88038,0.7763,0.81044,0.62874,0.74554,0.69513,1.06074,0.000189475,0.000189475,0.000189475
74,1469.4,0.51421,0.41255,0.9317,0.85799,0.78588,0.81824,0.62773,0.75602,0.70624,1.08721,0.000177651,0.000177651,0.000177651
75,1486.3,0.49994,0.38585,0.9212,0.89479,0.79531,0.82183,0.63315,0.75942,0.6923,1.09226,0.000166149,0.000166149,0.000166149
76,1503.45,0.50175,0.401,0.92846,0.85838,0.79981,0.81063,0.61904,0.76175,0.72683,1.0909,0.000154982,0.000154982,0.000154982
77,1520.72,0.52152,0.41775,0.93735,0.89498,0.7764,0.81567,0.62649,0.75055,0.69835,1.10185,0.000144161,0.000144161,0.000144161
78,1537.7,0.50037,0.41452,0.91877,0.90087,0.77144,0.8161,0.61597,0.75585,0.72966,1.09977,0.000133695,0.000133695,0.000133695
79,1554.26,0.4903,0.40291,0.92308,0.91341,0.75649,0.8174,0.63078,0.74834,0.70933,1.08833,0.000123596,0.000123596,0.000123596
80,1570.49,0.48977,0.39587,0.92397,0.90587,0.75545,0.81817,0.62956,0.76735,0.74079,1.09673,0.000113873,0.000113873,0.000113873
81,1587.85,0.48347,0.39782,0.9094,0.88641,0.76399,0.81697,0.63041,0.75212,0.70264,1.08851,0.000104537,0.000104537,0.000104537
82,1605.8,0.48848,0.39345,0.91379,0.9051,0.72715,0.79201,0.62665,0.75379,0.70842,1.08743,9.55951e-05,9.55951e-05,9.55951e-05
83,1622.6,0.4826,0.40312,0.92237,0.86855,0.77751,0.81353,0.62562,0.74514,0.69531,1.08803,8.70577e-05,8.70577e-05,8.70577e-05
84,1644.38,0.47355,0.38019,0.91815,0.9063,0.74071,0.80633,0.6291,0.73142,0.7009,1.08947,7.89327e-05,7.89327e-05,7.89327e-05
85,1665.95,0.48059,0.3866,0.92158,0.89037,0.74931,0.80431,0.6271,0.75216,0.72294,1.09925,7.12282e-05,7.12282e-05,7.12282e-05
86,1682.86,0.48847,0.39015,0.91599,0.90146,0.73823,0.79943,0.62209,0.76259,0.73635,1.09889,6.39518e-05,6.39518e-05,6.39518e-05
87,1698.77,0.46445,0.37045,0.90719,0.89358,0.73416,0.78357,0.618,0.74865,0.71965,1.09718,5.71106e-05,5.71106e-05,5.71106e-05
88,1714.53,0.50146,0.40661,0.933,0.8476,0.76771,0.78662,0.62475,0.7456,0.70533,1.0951,5.07115e-05,5.07115e-05,5.07115e-05
89,1730.62,0.47886,0.39323,0.91941,0.872,0.75742,0.78161,0.61758,0.74366,0.71104,1.09547,4.47606e-05,4.47606e-05,4.47606e-05
90,1747.22,0.47828,0.38395,0.9179,0.87055,0.75483,0.77971,0.61684,0.74317,0.70861,1.09546,3.9264e-05,3.9264e-05,3.9264e-05
91,1842.36,0.40312,0.3106,0.84911,0.85761,0.75216,0.77422,0.60694,0.76799,0.73508,1.11823,3.4227e-05,3.4227e-05,3.4227e-05
92,1863.36,0.39753,0.30216,0.83922,0.85484,0.75665,0.77716,0.60426,0.77826,0.73407,1.12185,2.96546e-05,2.96546e-05,2.96546e-05
93,1883.29,0.39218,0.2955,0.83923,0.87772,0.73679,0.78132,0.61536,0.76459,0.7206,1.11616,2.55513e-05,2.55513e-05,2.55513e-05
94,1902.47,0.38238,0.29261,0.83764,0.86935,0.7411,0.78238,0.61608,0.77183,0.73052,1.11327,2.19212e-05,2.19212e-05,2.19212e-05
