epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,5925.35,0.63967,0.45915,1.00462,0.89477,0.7751,0.82022,0.62784,0.77424,0.56462,1.15097,0.0004159,0.0004159,0.0004159
61,6051.49,0.65382,0.48032,1.00898,0.89635,0.78495,0.80032,0.63187,0.77576,0.61791,1.14616,0.000406,0.000406,0.000406
62,6182.34,0.62255,0.44948,1.00692,0.92621,0.7652,0.82451,0.63701,0.81359,0.6346,1.12016,0.0003961,0.0003961,0.0003961
63,6318.42,0.62926,0.46774,1.00164,0.93814,0.77148,0.83661,0.62308,0.82677,0.62389,1.11912,0.0003862,0.0003862,0.0003862
64,6454.95,0.62916,0.46204,0.99468,0.92272,0.75711,0.82928,0.63798,0.78142,0.6043,1.14077,0.0003763,0.0003763,0.0003763
65,6585.94,0.64331,0.46134,1.00284,0.89899,0.78373,0.81641,0.62039,0.80748,0.59404,1.16107,0.0003664,0.0003664,0.0003664
66,6714.05,0.58904,0.44607,0.974,0.93846,0.76435,0.82058,0.62718,0.80346,0.61426,1.15475,0.0003565,0.0003565,0.0003565
67,6865.28,0.578,0.43186,0.9695,0.95562,0.78964,0.82693,0.62903,0.7705,0.58355,1.13194,0.0003466,0.0003466,0.0003466
68,7011.76,0.57192,0.42603,0.9785,0.90761,0.77739,0.78214,0.61532,0.78013,0.60887,1.13259,0.0003367,0.0003367,0.0003367
69,7171.08,0.61416,0.44072,0.98907,0.91931,0.78822,0.82499,0.64363,0.78397,0.61054,1.11464,0.0003268,0.0003268,0.0003268
70,7320.08,0.60538,0.44385,0.98671,0.93586,0.78075,0.82846,0.64845,0.76686,0.62556,1.11787,0.0003169,0.0003169,0.0003169
71,7450.01,0.56575,0.43336,0.97062,0.94534,0.77565,0.81434,0.63584,0.74865,0.59394,1.12609,0.000307,0.000307,0.000307
72,7570.59,0.57804,0.4342,0.96692,0.93946,0.77863,0.83127,0.6361,0.74977,0.57058,1.12623,0.0002971,0.0002971,0.0002971
73,7721.29,0.60061,0.44216,0.98156,0.91843,0.78142,0.81754,0.63015,0.75274,0.59531,1.14705,0.0002872,0.0002872,0.0002872
74,7850.85,0.58631,0.42995,0.97139,0.9312,0.79007,0.83799,0.64374,0.76247,0.6012,1.10983,0.0002773,0.0002773,0.0002773
75,7998.26,0.56884,0.42027,0.9662,0.95014,0.78432,0.82937,0.63681,0.77748,0.60831,1.13166,0.0002674,0.0002674,0.0002674
76,8117.3,0.57199,0.41691,0.96117,0.93163,0.77238,0.80581,0.62335,0.7646,0.63636,1.13145,0.0002575,0.0002575,0.0002575
77,8273.98,0.57022,0.41522,0.95665,0.94644,0.76681,0.80418,0.6268,0.76317,0.63675,1.10237,0.0002476,0.0002476,0.0002476
78,8411.79,0.55908,0.399,0.9623,0.92931,0.75538,0.80923,0.63552,0.74746,0.63047,1.12137,0.0002377,0.0002377,0.0002377
79,8572.89,0.54524,0.39009,0.94819,0.89406,0.78142,0.81842,0.63842,0.76959,0.63935,1.1379,0.0002278,0.0002278,0.0002278
80,8703.91,0.54011,0.39482,0.95354,0.94234,0.77723,0.82213,0.63644,0.77028,0.60181,1.14137,0.0002179,0.0002179,0.0002179
81,8791.31,0.55598,0.39651,0.94887,0.93664,0.77523,0.82545,0.63575,0.77569,0.60981,1.16075,0.000208,0.000208,0.000208
82,8885.81,0.52343,0.37663,0.94903,0.92189,0.77679,0.82371,0.6357,0.76675,0.60624,1.14523,0.0001981,0.0001981,0.0001981
83,8986.31,0.54264,0.38939,0.95573,0.94402,0.78006,0.8302,0.64251,0.77028,0.58258,1.14786,0.0001882,0.0001882,0.0001882
84,9101.06,0.52162,0.37939,0.94653,0.93236,0.79932,0.83101,0.64743,0.75672,0.56476,1.1614,0.0001783,0.0001783,0.0001783
85,9224.93,0.52005,0.3687,0.93877,0.92942,0.79821,0.83407,0.64809,0.74968,0.56932,1.14334,0.0001684,0.0001684,0.0001684
86,9363.68,0.54389,0.39376,0.94491,0.92617,0.81197,0.82974,0.65364,0.75583,0.54516,1.13153,0.0001585,0.0001585,0.0001585
87,9470.6,0.51785,0.37467,0.93675,0.93756,0.80251,0.83249,0.64194,0.74947,0.54366,1.1528,0.0001486,0.0001486,0.0001486
88,9602.98,0.50684,0.36775,0.93483,0.95302,0.8144,0.84685,0.64626,0.75098,0.54037,1.16225,0.0001387,0.0001387,0.0001387
89,9741.35,0.51793,0.37277,0.94852,0.9465,0.81334,0.84364,0.64974,0.735,0.53373,1.15184,0.0001288,0.0001288,0.0001288
90,9842.65,0.51168,0.37377,0.94168,0.95918,0.80364,0.84574,0.64214,0.73904,0.53715,1.16079,0.0001189,0.0001189,0.0001189
91,10086.7,0.45032,0.3329,0.88542,0.94896,0.80694,0.84178,0.65023,0.74669,0.52172,1.11596,0.000109,0.000109,0.000109
92,10273.7,0.44957,0.30272,0.86749,0.95035,0.78257,0.8408,0.64143,0.74716,0.53786,1.1332,9.91e-05,9.91e-05,9.91e-05
93,10430.8,0.43317,0.30068,0.86149,0.95235,0.79456,0.84529,0.64665,0.74054,0.5415,1.12954,8.92e-05,8.92e-05,8.92e-05
94,10553.5,0.41898,0.28515,0.84289,0.95257,0.80475,0.84267,0.64925,0.74153,0.53766,1.12908,7.93e-05,7.93e-05,7.93e-05
95,10670.4,0.4262,0.28159,0.85667,0.94443,0.79426,0.83051,0.64723,0.74359,0.53125,1.14736,6.94e-05,6.94e-05,6.94e-05
96,10759.2,0.40445,0.27698,0.83587,0.95622,0.80198,0.83938,0.65215,0.72905,0.52817,1.129,5.95e-05,5.95e-05,5.95e-05
97,10872.1,0.41729,0.2815,0.86252,0.95743,0.80309,0.83935,0.6516,0.73054,0.53468,1.13284,4.96e-05,4.96e-05,4.96e-05
98,10958.2,0.39463,0.2757,0.8493,0.944,0.79211,0.84034,0.6401,0.73113,0.53741,1.14821,3.97e-05,3.97e-05,3.97e-05
99,11064.4,0.40002,0.27217,0.85842,0.94805,0.7909,0.83912,0.64333,0.73204,0.53861,1.14606,2.98e-05,2.98e-05,2.98e-05
100,11188.8,0.39721,0.27121,0.85909,0.94634,0.78737,0.84097,0.64063,0.73189,0.54156,1.14001,1.99e-05,1.99e-05,1.99e-05
